Temperatura,Umidade
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
