Temperatura,Umidade
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
1873,7100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2627,4100
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2119,7500
2065,8200
2065,8200
2065,8200
2065,8200
2065,8200
2065,8200
2065,8200
2065,8200
2065,8200
2065,8200
2065,8200
2065,8200
2065,8200
